iter	RMSE
0	14.87552445
1	14.48532303
2	14.08206253
3	13.736034
4	13.40170565
5	13.07967503
6	12.76824176
7	12.51148341
8	12.21817518
9	11.92089724
10	11.64128079
11	11.38375272
12	11.16730225
13	10.93055987
14	10.67900622
15	10.43874016
16	10.21756633
17	10.02093156
18	9.819678071
19	9.623242789
20	9.449422781
21	9.284537055
22	9.110203732
23	8.947339176
24	8.798346499
25	8.65491001
26	8.504374245
27	8.36514489
28	8.233611061
29	8.10856971
30	7.986731108
31	7.87772541
32	7.774916229
33	7.674763517
34	7.573222761
35	7.478457831
36	7.382596763
37	7.29231788
38	7.195449384
39	7.117665208
40	7.053595767
41	6.981247813
42	6.910345493
43	6.848897881
44	6.778770818
45	6.720339
46	6.653994675
47	6.59423101
48	6.534775173
49	6.485527046
50	6.438373121
51	6.386171405
52	6.337491098
53	6.288366328
54	6.244412488
55	6.204622082
56	6.163186794
57	6.127470662
58	6.093383583
59	6.060433043
60	6.026919689
61	5.997813146
62	5.966230088
63	5.932764914
64	5.906058076
65	5.878743624
66	5.848781006
67	5.819225402
68	5.79774395
69	5.768738017
70	5.746579194
71	5.728954764
72	5.707902956
73	5.687351754
74	5.666624652
75	5.648674012
76	5.631375774
77	5.616420116
78	5.598203935
79	5.583701589
80	5.568017913
81	5.551218612
82	5.532253808
83	5.517702029
84	5.497427546
85	5.483893795
86	5.470891148
87	5.459906945
88	5.447602152
89	5.429737072
90	5.415175517
91	5.402194143
92	5.391797129
93	5.38499615
94	5.374874592
95	5.363162807
96	5.355511375
97	5.344859744
98	5.333172767
99	5.325892643
100	5.317130423
101	5.308189215
102	5.295512455
103	5.289090343
104	5.281032306
105	5.27064168
106	5.261210083
107	5.255451016
108	5.249074693
109	5.241916598
110	5.240174811
111	5.23219215
112	5.223450229
113	5.216930307
114	5.211024321
115	5.204611478
116	5.200360061
117	5.196767843
118	5.194741912
119	5.187836925
120	5.183406521
121	5.180286255
122	5.174838462
123	5.169640542
124	5.164645055
125	5.158799797
126	5.152495504
127	5.149201091
128	5.141625993
129	5.132988651
130	5.123457668
131	5.119070508
132	5.112938781
133	5.105789101
134	5.101421197
135	5.091833919
136	5.086924782
137	5.082217896
138	5.075821163
139	5.069795408
140	5.069378729
141	5.064315647
142	5.056477974
143	5.051019602
144	5.048325504
145	5.043348082
146	5.039003904
147	5.036126708
148	5.032450232
149	5.03033659
150	5.02539097
151	5.020925578
152	5.016063865
153	5.011978445
154	5.008409669
155	5.004463604
156	5.000093907
157	4.99457355
158	4.991572261
159	4.98875832
160	4.985697862
161	4.980801224
162	4.977521934
163	4.973610402
164	4.973241362
165	4.97017899
166	4.963707983
167	4.956087538
168	4.95366974
169	4.948630823
170	4.944549268
171	4.93898016
172	4.934336983
173	4.932075382
174	4.928167299
175	4.921621636
176	4.919698229
177	4.913595871
178	4.910598553
179	4.9058382
180	4.901532936
181	4.898460445
182	4.894445601
183	4.890514821
184	4.887046523
185	4.882116213
186	4.877266901
187	4.875319392
188	4.871694543
189	4.868874791
190	4.864249311
191	4.862793047
192	4.858755764
193	4.855011602
194	4.851223443
195	4.847146557
196	4.841127623
197	4.83746599
198	4.834259963
199	4.832386424
200	4.831018044
201	4.82689406
202	4.82104059
203	4.816866629
204	4.814209822
205	4.81033698
206	4.807055391
207	4.803863036
208	4.798224128
209	4.792807046
210	4.790177727
211	4.785882812
212	4.779935244
213	4.775695527
214	4.774312108
215	4.77218959
216	4.768638601
217	4.764896685
218	4.75924097
219	4.754456618
220	4.750537911
221	4.747448514
222	4.744226118
223	4.741462553
224	4.740251944
225	4.737491744
226	4.73376038
227	4.732105205
228	4.728407519
229	4.725403424
230	4.721643203
231	4.71429354
232	4.709432551
233	4.707497584
234	4.706810183
235	4.701518462
236	4.699197144
237	4.695587698
238	4.690454561
239	4.687760519
240	4.686068481
241	4.682893771
242	4.680231349
243	4.676396322
244	4.672908006
245	4.669354613
246	4.665769326
247	4.660049799
248	4.658569167
249	4.655693688
250	4.652576424
251	4.650364404
252	4.648599263
253	4.644920968
254	4.638268959
255	4.632981996
256	4.626946597
257	4.62457076
258	4.621097306
259	4.619892156
260	4.616261515
261	4.612003254
262	4.610711481
263	4.608698063
264	4.605409062
265	4.599172911
266	4.592279503
267	4.590904559
268	4.588552387
269	4.587544044
270	4.583053017
271	4.577457023
272	4.574347976
273	4.568709362
274	4.564828869
275	4.563616423
276	4.559325136
277	4.557043011
278	4.551202792
279	4.548636263
280	4.544366503
281	4.538199558
282	4.536010468
283	4.535463371
284	4.533274681
285	4.527720867
286	4.525058511
287	4.521075355
288	4.51806959
289	4.515590952
290	4.513009699
291	4.511992265
292	4.507868461
293	4.504559872
294	4.501297547
295	4.50051401
296	4.499893081
297	4.495919382
298	4.492078108
299	4.488800967
300	4.486573566
301	4.479673448
302	4.475521025
303	4.470621397
304	4.466235328
305	4.462510438
306	4.455437283
307	4.45074475
308	4.445425026
309	4.444349492
310	4.441031919
311	4.436349188
312	4.433084345
313	4.424909101
314	4.422509767
315	4.4167884
316	4.411904061
317	4.410984963
318	4.407367084
319	4.402555725
320	4.395785662
321	4.391824369
322	4.390711181
323	4.385478579
324	4.383007387
325	4.382279463
326	4.379248418
327	4.374765663
328	4.370112204
329	4.367660298
330	4.364029224
331	4.359456481
332	4.357892669
333	4.355337882
334	4.352050918
335	4.347703571
336	4.346777982
337	4.343874528
338	4.339300066
339	4.338570107
340	4.335364162
341	4.334347958
342	4.32746246
343	4.324963641
344	4.321991823
345	4.319764873
346	4.31903009
347	4.318796671
348	4.31223209
349	4.307872739
350	4.305221557
351	4.304342751
352	4.297872312
353	4.293633781
354	4.292454636
355	4.290339128
356	4.287686006
357	4.287333533
358	4.282830446
359	4.280072679
360	4.276287937
361	4.274113097
362	4.26984905
363	4.265560643
364	4.262884647
365	4.258315089
366	4.255780717
367	4.250698032
368	4.248876847
369	4.244600797
370	4.24050953
371	4.239308281
372	4.234790647
373	4.230052094
374	4.226033254
375	4.219448187
376	4.217042684
377	4.214231464
378	4.209305185
379	4.205141732
380	4.202232989
381	4.199887737
382	4.197604016
383	4.195477821
384	4.193295931
385	4.190410409
386	4.185745437
387	4.179839632
388	4.175210667
389	4.171464234
390	4.166961919
391	4.165107678
392	4.164658166
393	4.160753781
394	4.159018661
395	4.156048611
396	4.15444462
397	4.153394744
398	4.146702461
399	4.143964894
400	4.140106428
401	4.137697886
402	4.13396309
403	4.131807269
404	4.129516943
405	4.127351366
406	4.123275564
407	4.122353347
408	4.117852536
409	4.11243128
410	4.108730817
411	4.104569353
412	4.10176822
413	4.096271648
414	4.093882263
415	4.089523646
416	4.088690572
417	4.084909468
418	4.080747421
419	4.07905723
420	4.076903973
421	4.073035009
422	4.069444854
423	4.068330757
424	4.065518945
425	4.061495639
426	4.059913699
427	4.058100465
428	4.056999149
429	4.051850661
430	4.049484161
431	4.045707995
432	4.04273
433	4.040187298
434	4.038913145
435	4.034108629
436	4.029220973
437	4.028929888
438	4.025435379
439	4.021097015
440	4.020818458
441	4.019547693
442	4.01850004
443	4.014360969
444	4.013779433
445	4.009746991
446	4.007523291
447	4.005100325
448	4.004010729
449	4.001571666
450	3.999046962
451	3.998441385
452	3.997072525
453	3.994196205
454	3.990155508
455	3.986392576
456	3.984771683
457	3.983302598
458	3.97898518
459	3.978002505
460	3.974497542
461	3.972402743
462	3.971730046
463	3.970433756
464	3.968936264
465	3.964990194
466	3.960952731
467	3.957668894
468	3.955604121
469	3.950615302
470	3.949732633
471	3.946072495
472	3.943608577
473	3.942738585
474	3.940885629
475	3.939071154
476	3.93663032
477	3.934790133
478	3.932014444
479	3.928517085
480	3.925300928
481	3.922903413
482	3.9204558
483	3.919639089
484	3.916217568
485	3.915720098
486	3.914639822
487	3.911135573
488	3.907873341
489	3.905604536
490	3.903747606
491	3.903333937
492	3.900572534
493	3.898097584
494	3.894216591
495	3.891686397
496	3.891156355
497	3.887683992
498	3.885703274
499	3.884164882
500	3.881288234
501	3.87940463
502	3.877889562
503	3.874503914
504	3.872730061
505	3.868960675
506	3.867252812
507	3.865775986
508	3.862540177
509	3.862088103
510	3.860445588
511	3.858666371
512	3.858307804
513	3.855746933
514	3.853259877
