iter	Passed	Remaining
0	55	55661
1	56	28091
2	56	18905
3	57	14284
4	57	11519
5	58	9666
6	58	8350
7	59	7364
8	59	6595
9	60	5974
10	60	5468
11	61	5047
12	61	4690
13	62	4384
14	62	4119
15	63	3888
16	63	3685
17	64	3502
18	64	3341
19	65	3193
20	65	3065
21	66	2943
22	66	2831
23	67	2730
24	67	2639
25	68	2554
26	68	2473
27	69	2397
28	69	2328
29	70	2263
30	70	2203
31	71	2149
32	71	2098
33	72	2049
34	72	2002
35	73	1957
36	73	1916
37	74	1878
38	74	1841
39	75	1805
40	75	1770
41	76	1737
42	76	1707
43	77	1677
44	77	1651
45	78	1625
46	78	1599
47	79	1572
48	79	1548
49	80	1523
50	80	1500
51	81	1477
52	81	1454
53	81	1433
54	82	1412
55	82	1394
56	83	1376
57	83	1358
58	84	1341
59	84	1324
60	84	1307
61	85	1290
62	85	1275
63	86	1260
64	86	1245
65	87	1231
66	87	1218
67	88	1206
68	88	1195
69	89	1183
70	89	1171
71	89	1159
72	90	1148
73	91	1139
74	91	1128
75	91	1117
76	92	1107
77	92	1096
78	93	1086
79	93	1076
80	94	1066
81	94	1057
82	94	1048
83	95	1040
84	95	1031
85	96	1023
86	96	1014
87	97	1006
88	97	998
89	97	990
90	98	982
91	98	974
92	99	968
93	99	959
94	99	952
95	100	945
96	100	938
97	101	935
98	102	928
99	102	922
100	103	916
101	103	911
102	104	905
103	104	899
104	104	894
105	105	888
106	105	882
107	106	877
108	106	871
109	107	865
110	107	859
111	107	853
112	108	848
113	108	843
114	109	838
115	109	834
116	109	829
117	110	824
118	110	819
119	111	815
120	111	811
121	112	807
122	112	803
123	113	799
124	113	795
125	114	791
126	114	788
127	115	784
128	115	781
129	116	777
130	116	774
131	117	770
132	117	767
133	118	763
134	118	759
135	118	755
136	119	752
137	119	749
138	120	745
139	120	742
140	121	737
141	121	733
142	121	730
143	122	727
144	122	723
145	123	720
146	123	717
147	124	714
148	124	711
149	124	707
150	125	704
151	125	701
152	126	698
153	126	694
154	126	691
155	127	689
156	127	687
157	128	684
158	128	682
159	129	679
160	129	676
161	130	674
162	130	672
163	131	669
164	131	666
165	132	663
166	132	661
167	132	658
168	133	655
169	133	653
170	134	650
171	134	648
172	135	645
173	135	643
174	135	641
175	136	638
176	136	636
177	137	634
178	137	631
179	138	629
180	138	626
181	138	624
182	139	622
183	139	620
184	140	618
185	140	615
186	141	613
187	141	611
188	142	610
189	142	608
190	143	606
191	143	604
192	144	602
193	144	600
194	145	598
195	145	596
196	145	594
197	146	592
198	146	590
199	147	588
200	147	586
201	148	584
202	148	583
203	148	581
204	149	579
205	149	577
206	150	575
207	150	573
208	151	571
209	151	570
210	151	568
211	152	566
212	152	564
213	153	562
214	153	560
215	154	559
216	154	557
217	154	555
218	155	554
219	156	553
220	156	551
221	157	550
222	157	549
223	158	547
224	158	545
225	158	543
226	159	542
227	159	541
228	160	539
229	160	537
230	161	536
231	161	534
232	161	532
233	162	531
234	162	529
235	163	528
236	163	526
237	164	525
238	164	523
239	164	522
240	165	520
241	165	519
242	166	517
243	166	516
244	167	514
245	167	513
246	167	511
247	168	510
248	168	509
249	169	508
250	169	506
251	170	505
252	170	504
253	171	503
254	171	501
255	172	500
256	172	499
257	173	498
258	173	497
259	174	495
260	174	494
261	174	492
262	175	491
263	175	490
264	176	488
265	176	487
266	177	486
267	177	485
268	178	483
269	178	482
270	178	481
271	179	480
272	179	479
273	180	477
274	180	476
275	181	475
276	181	474
277	182	473
278	182	472
279	183	470
280	183	469
281	183	468
282	184	467
283	184	466
284	185	464
285	185	463
286	186	462
287	186	461
288	187	460
289	187	459
290	187	457
291	188	456
292	188	455
293	189	454
294	189	453
295	190	452
296	190	451
297	190	449
298	191	448
299	191	447
300	192	446
301	192	445
302	193	444
303	193	443
304	194	442
305	194	441
306	194	439
307	195	439
308	195	438
309	196	437
310	196	436
311	197	435
312	197	434
313	198	433
314	198	432
315	199	431
316	199	430
317	200	429
318	200	428
319	200	427
320	201	426
321	201	424
322	202	423
323	202	422
324	203	421
325	203	420
326	204	419
327	204	419
328	205	418
329	205	417
330	205	416
331	206	415
332	206	413
333	207	412
334	207	411
335	207	410
336	208	410
337	208	409
338	209	408
339	210	407
340	210	406
341	211	405
342	211	405
343	212	404
344	212	403
345	212	402
346	213	401
347	213	400
348	214	399
349	214	398
350	215	397
351	215	396
352	215	395
353	216	394
354	216	394
355	217	393
356	217	392
357	218	391
358	218	390
359	219	389
360	219	388
361	219	387
362	220	386
363	220	385
364	221	384
365	221	383
366	222	383
367	222	382
368	223	381
369	223	380
370	224	379
371	224	379
372	225	378
373	225	377
374	226	376
375	226	375
376	226	374
377	227	374
378	227	373
379	228	372
380	228	371
381	228	370
382	229	369
383	229	368
384	230	367
385	230	367
386	231	366
387	231	365
388	232	364
389	232	363
390	232	362
391	233	362
392	233	361
393	234	360
394	234	359
395	235	358
396	235	357
397	236	357
398	236	356
399	237	355
400	237	354
401	237	353
402	238	353
403	238	352
404	239	351
405	239	350
406	240	350
407	240	349
408	241	348
409	241	347
410	242	346
411	242	346
412	242	345
413	243	344
414	243	343
415	244	342
416	244	342
417	245	341
418	245	340
419	245	339
420	246	338
421	246	338
422	247	337
423	247	336
424	248	335
425	248	334
426	249	334
427	249	333
428	250	332
429	250	332
430	251	331
431	251	330
432	251	329
433	252	329
434	253	329
435	254	328
436	254	328
437	255	327
438	255	326
439	256	326
440	256	325
441	257	324
442	258	324
443	258	323
444	259	323
445	259	322
446	260	321
447	260	321
448	261	320
449	262	320
450	262	319
451	263	319
452	263	318
453	264	317
454	264	317
455	265	316
456	265	315
457	266	315
458	266	314
459	267	313
460	267	313
461	268	312
462	268	311
463	269	310
464	269	310
465	270	309
466	270	309
467	271	308
468	271	307
469	272	307
470	273	306
471	273	306
472	274	305
473	274	304
474	275	304
475	275	303
476	276	302
477	276	302
478	277	301
479	277	300
480	278	299
481	278	299
482	278	298
483	279	297
484	279	297
485	280	296
486	280	295
487	280	294
488	281	294
489	281	293
490	282	292
491	282	291
492	283	291
493	283	290
494	283	289
495	284	289
496	284	288
497	285	287
498	285	286
499	286	286
500	286	285
501	287	284
502	287	284
503	288	283
504	288	282
505	289	282
506	289	281
507	289	280
508	290	280
509	290	279
510	291	278
511	291	277
512	292	277
513	292	276
514	292	275
515	293	275
516	293	274
517	294	273
518	294	273
519	295	272
520	295	271
521	296	271
522	296	270
523	296	269
524	297	268
525	297	268
526	298	267
527	298	266
528	299	266
529	299	265
530	299	264
531	300	264
532	300	263
533	301	262
534	301	262
535	302	261
536	302	260
537	303	260
538	303	259
539	304	259
540	304	258
541	304	257
542	305	257
543	305	256
544	306	255
545	306	255
546	307	254
547	307	253
548	308	253
549	308	252
550	309	251
551	309	251
552	310	250
553	310	249
554	310	249
555	311	248
556	311	247
557	312	247
558	312	246
559	312	245
560	313	245
561	313	244
562	314	243
563	314	243
564	315	242
565	315	241
566	315	241
567	316	240
568	316	239
569	317	239
570	317	238
571	318	238
572	318	237
573	319	237
574	319	236
575	320	235
576	320	235
577	321	234
578	321	233
579	321	233
580	322	232
581	322	231
582	323	231
583	323	230
584	324	230
585	324	229
586	325	228
587	325	228
588	326	227
589	326	226
590	326	226
591	327	225
592	327	225
593	328	224
594	328	223
595	329	223
596	329	222
597	329	221
598	330	221
599	331	220
600	331	220
601	332	219
602	332	218
603	332	218
604	333	217
605	333	217
606	334	216
607	334	215
608	335	215
609	335	214
610	336	214
611	336	213
612	337	212
613	337	212
614	338	211
615	338	211
616	339	210
617	339	209
618	340	209
619	340	208
620	340	208
621	341	207
622	341	206
623	342	206
624	342	205
625	343	204
626	343	204
627	344	203
628	344	203
629	345	202
630	345	202
631	345	201
632	346	200
633	346	200
634	347	199
635	347	199
636	348	198
637	348	197
638	349	197
639	349	196
640	350	196
641	350	195
642	350	194
643	351	194
644	351	193
645	352	193
646	352	192
647	353	191
648	353	191
649	354	190
650	354	190
651	354	189
652	355	188
653	355	188
654	356	187
655	356	186
656	356	186
657	357	185
658	357	185
659	358	184
660	358	184
661	359	183
662	359	182
663	360	182
664	360	181
665	361	181
666	361	180
667	362	179
668	362	179
669	363	178
670	363	178
671	363	177
672	364	177
673	364	176
674	365	175
675	365	175
676	366	174
677	366	174
678	366	173
679	367	172
680	367	172
681	368	171
682	368	171
683	369	170
684	369	169
685	370	169
686	370	168
687	371	168
688	371	167
689	372	167
690	372	166
691	373	166
692	373	165
693	374	164
694	374	164
695	374	163
696	375	163
